Date;Spot;
0.000000;93.650000;
0.004000;92.300000;
0.008000;90.390000;
0.012000;89.340000;
0.016000;89.690000;
0.020000;88.940000;
0.024000;88.980000;
0.028000;87.060000;
0.032000;88.020000;
0.036000;89.410000;
0.040000;89.930000;
0.044000;88.480000;
0.048000;89.000000;
0.052000;87.380000;
0.056000;90.270000;
0.060000;90.880000;
0.064000;89.700000;
0.068000;88.670000;
0.072000;88.620000;
0.076000;87.740000;
0.080000;86.010000;
0.084000;86.450000;
0.088000;87.800000;
0.092000;88.090000;
0.096000;88.200000;
0.100000;86.200000;
0.104000;83.390000;
0.108000;84.540000;
0.112000;84.950000;
0.116000;83.860000;
0.120000;84.560000;
0.124000;85.470000;
0.128000;85.870000;
0.132000;85.590000;
0.136000;87.030000;
0.140000;86.100000;
0.144000;85.090000;
0.148000;83.640000;
0.152000;83.550000;
0.156000;84.610000;
0.160000;84.630000;
0.164000;83.740000;
0.168000;81.980000;
0.172000;81.850000;
0.176000;83.240000;
0.180000;81.570000;
0.184000;79.850000;
0.188000;80.600000;
0.192000;79.310000;
0.196000;78.750000;
0.200000;79.480000;
0.204000;79.440000;
0.208000;78.160000;
0.212000;76.580000;
0.216000;76.720000;
0.220000;76.210000;
0.224000;75.300000;
0.228000;75.640000;
0.232000;74.200000;
0.236000;74.320000;
0.240000;75.470000;
0.244000;74.860000;
0.248000;75.840000;
0.252000;75.870000;
0.256000;76.800000;
0.260000;76.510000;
0.264000;78.200000;
0.268000;77.440000;
0.272000;79.050000;
0.276000;80.050000;
0.280000;79.150000;
0.284000;77.940000;
0.288000;76.090000;
0.292000;76.360000;
0.296000;76.240000;
0.300000;75.520000;
0.304000;76.650000;
0.308000;77.350000;
0.312000;78.820000;
0.316000;80.110000;
0.320000;79.940000;
0.324000;80.790000;
0.328000;79.880000;
0.332000;81.250000;
0.336000;81.350000;
0.340000;79.300000;
0.344000;76.580000;
0.348000;75.060000;
0.352000;76.350000;
0.356000;76.870000;
0.360000;75.520000;
0.364000;75.300000;
0.368000;75.130000;
0.372000;73.970000;
0.376000;73.100000;
0.380000;72.940000;
0.384000;72.500000;
0.388000;72.690000;
0.392000;73.170000;
0.396000;73.120000;
0.400000;72.620000;
0.404000;72.430000;
0.408000;72.430000;
0.412000;71.500000;
0.416000;72.190000;
0.420000;71.630000;
0.424000;70.640000;
0.428000;69.870000;
0.432000;69.920000;
0.436000;70.220000;
0.440000;70.010000;
0.444000;68.240000;
0.448000;65.600000;
0.452000;66.120000;
0.456000;66.280000;
0.460000;66.410000;
0.464000;68.450000;
0.468000;68.470000;
0.472000;69.040000;
0.476000;68.910000;
0.480000;69.310000;
0.484000;70.720000;
0.488000;69.770000;
0.492000;68.810000;
0.496000;68.740000;
0.500000;67.850000;
0.504000;66.560000;
0.508000;66.740000;
0.512000;66.440000;
0.516000;65.520000;
0.520000;67.270000;
0.524000;67.870000;
0.528000;67.160000;
0.532000;66.130000;
0.536000;65.780000;
0.540000;67.290000;
0.544000;66.850000;
0.548000;66.530000;
0.552000;67.210000;
0.556000;66.870000;
0.560000;66.070000;
0.564000;67.690000;
0.568000;68.260000;
0.572000;68.550000;
0.576000;69.160000;
0.580000;69.120000;
0.584000;69.650000;
0.588000;71.570000;
0.592000;73.390000;
0.596000;72.710000;
0.600000;73.370000;
0.604000;71.950000;
0.608000;73.060000;
0.612000;74.550000;
0.616000;73.690000;
0.620000;72.700000;
0.624000;73.570000;
0.628000;73.890000;
0.632000;74.070000;
0.636000;72.940000;
0.640000;71.260000;
0.644000;71.310000;
0.648000;70.550000;
0.652000;69.440000;
0.656000;70.310000;
0.660000;72.430000;
0.664000;72.040000;
0.668000;72.910000;
0.672000;73.770000;
0.676000;74.770000;
0.680000;74.440000;
0.684000;75.740000;
0.688000;74.720000;
0.692000;73.880000;
0.696000;72.410000;
0.700000;72.640000;
0.704000;72.240000;
0.708000;72.970000;
0.712000;74.520000;
0.716000;75.060000;
0.720000;72.390000;
0.724000;73.830000;
0.728000;72.290000;
0.732000;75.500000;
0.736000;75.900000;
0.740000;75.550000;
0.744000;75.290000;
0.748000;74.800000;
0.752000;73.240000;
0.756000;74.330000;
0.760000;73.970000;
0.764000;74.500000;
0.768000;75.700000;
0.772000;76.100000;
0.776000;75.300000;
0.780000;75.650000;
0.784000;76.010000;
0.788000;77.380000;
0.792000;77.150000;
0.796000;76.980000;
0.800000;78.470000;
0.804000;78.950000;
0.808000;79.990000;
0.812000;78.120000;
0.816000;79.170000;
0.820000;78.620000;
0.824000;77.690000;
0.828000;78.780000;
0.832000;77.720000;
0.836000;78.620000;
0.840000;77.330000;
0.844000;77.240000;
0.848000;76.720000;
0.852000;78.000000;
0.856000;79.020000;
0.860000;79.110000;
0.864000;79.020000;
0.868000;81.320000;
0.872000;82.120000;
0.876000;82.360000;
0.880000;83.850000;
