Price;Volume;
381.418252;0.117207;
375.358398;0.198176;
380.204220;0.138511;
378.518200;0.194455;
380.314237;0.600530;
379.300596;0.257256;
378.016158;0.110684;
375.757099;0.141035;
389.592451;0.101615;
377.387831;0.149733;
378.290981;0.129449;
379.636072;0.135691;
381.443695;0.197097;
376.822774;0.231244;
378.905775;0.121844;
378.557308;0.101496;
377.959055;0.191788;
376.739096;0.256303;
378.565313;0.110349;
377.443727;0.102915;
380.658080;0.115827;
377.740476;0.161682;
377.028383;0.113171;
377.417143;0.202782;
377.040274;0.105895;
380.319372;0.286424;
377.333218;0.252748;
379.691168;0.127704;
383.097099;0.325811;
383.884521;0.535077;
380.186678;1.730458;
378.874055;0.129181;
378.302910;0.184525;
381.901997;0.105571;
380.004719;0.129641;
378.578094;0.128657;
377.231681;0.128875;
377.990783;0.292620;
381.188631;0.167557;
381.073915;0.140535;
381.467837;0.134386;
381.340333;0.154760;
378.993384;0.109278;
378.993585;0.166318;
377.530780;0.118543;
375.278802;0.100338;
380.724037;0.356175;
379.099955;0.133105;
379.285462;0.273609;
391.163415;0.101587;
379.782626;0.122713;
379.898788;0.130892;
377.788041;0.178833;
380.926391;0.175445;
375.889735;0.136414;
379.778394;0.102270;
378.465605;0.221408;
372.027433;0.192065;
380.624388;0.536007;
380.846332;0.151224;
376.435838;0.149259;
380.281030;0.148003;
394.824037;0.153914;
377.977514;0.316803;
379.115820;0.157684;
378.349101;0.261020;
378.410557;0.820211;
380.836368;0.171989;
379.506044;0.183837;
378.645509;0.117892;
377.953452;0.113810;
378.376220;0.343205;
380.496608;0.108686;
377.126536;0.414275;
384.151017;0.326437;
379.561484;0.495321;
379.371026;0.238106;
378.207776;0.115943;
379.418736;0.872133;
378.780335;0.252853;
380.130856;0.152435;
379.414903;0.213731;
377.284333;0.113003;
378.493122;0.484158;
377.016212;0.105331;
378.209020;0.116879;
378.727874;0.108000;
379.226615;0.424908;
380.476816;0.103286;
382.922238;0.123211;
379.414023;0.113754;
352.575313;0.118550;
379.519569;0.117347;
384.118185;0.124708;
380.074760;0.111076;
381.659339;0.151129;
380.715908;0.124764;
381.928619;0.190868;
379.274148;0.150568;
381.502503;0.340443;
385.627839;0.115707;
376.213856;0.123940;
376.955848;0.130182;
373.944291;0.126065;
379.484132;1.180124;
382.942269;0.113437;
376.334963;0.110601;
381.416269;0.103381;
380.248842;0.106868;
379.385241;0.114503;
377.297421;0.311826;
378.420845;0.104437;
380.805229;0.154057;
381.779317;0.237919;
376.684245;1.922378;
378.608718;0.608586;
377.905230;0.106174;
379.339708;0.142614;
377.292018;0.137516;
357.646851;0.326329;
380.962666;0.154128;
378.738652;0.176617;
377.077210;0.353061;
380.873763;0.188351;
379.575480;0.103532;
377.671405;0.417955;
350.771462;0.104396;
383.482524;0.141236;
380.618343;0.141855;
376.905014;0.126288;
380.711109;0.107483;
378.755030;0.139669;
379.874093;0.118061;
375.111020;0.115748;
378.306098;0.134877;
380.044360;0.130161;
379.094709;0.156859;
380.221607;0.189751;
377.809171;0.206818;
378.648362;0.141088;
378.628187;0.139755;
380.352067;0.110219;
376.837234;0.180390;
374.398373;0.144639;
381.505216;0.101747;
378.803800;0.100003;
379.689746;0.108508;
380.959166;0.135870;
380.870251;0.202601;
381.621640;0.127166;
374.801856;0.102231;
382.844216;0.168092;
376.028628;0.190141;
379.361263;0.148659;
380.511056;0.672693;
272.201475;0.190483;
377.842315;0.106564;
375.290502;0.212987;
376.491687;0.271553;
376.895850;0.239126;
367.801299;0.107943;
378.575274;0.127290;
377.831546;0.214426;
380.186533;0.264678;
379.316637;1.245941;
376.920205;0.136716;
366.985763;0.135385;
377.726118;0.134930;
374.972037;0.169181;
376.879350;0.124581;
380.225638;0.168536;
377.340834;0.311664;
379.945844;0.412387;
376.319180;0.207755;
377.737145;0.296573;
378.602147;0.140843;
380.751518;0.144835;
377.777985;0.124572;
379.914025;0.176687;
