Price;Volume;
816.379993;0.102451;
807.940503;0.118878;
823.980206;0.100314;
825.923631;0.114213;
822.494242;0.144681;
817.627806;0.119048;
815.531182;0.175453;
819.418198;0.117274;
816.883143;2.941960;
819.512014;0.370668;
817.882143;0.121847;
814.918036;0.298815;
814.927728;0.199851;
823.498356;0.124681;
822.145917;0.118706;
828.617884;0.300083;
825.736502;0.194745;
823.170348;0.150508;
820.551489;0.152227;
821.257884;0.189160;
815.236389;0.163742;
820.639414;0.114448;
817.901738;0.108028;
820.332464;0.120824;
822.681132;0.134412;
824.529764;0.224722;
822.847060;0.184904;
809.954567;0.177732;
817.813350;0.151400;
821.692584;0.480998;
817.536257;0.141463;
816.711927;0.107160;
811.672553;0.103423;
821.021180;0.157214;
834.395524;0.211017;
821.514714;0.114066;
827.239657;0.102327;
839.908393;0.152574;
842.528873;0.141364;
836.810488;0.127589;
819.365342;0.108561;
826.791809;0.145747;
831.570319;0.268214;
817.738617;0.192532;
821.316948;0.345738;
815.460869;0.346130;
816.162458;0.114714;
827.449722;0.106570;
825.454179;0.195418;
820.431957;0.137383;
823.846478;0.117625;
821.650816;0.175919;
824.334236;0.206343;
821.822022;0.138323;
823.831481;0.128178;
819.924242;0.134102;
827.226898;0.160076;
817.193221;0.128635;
814.383004;0.113075;
823.138443;0.122606;
827.296978;0.101876;
824.953904;0.175289;
820.319406;0.128096;
824.783241;0.107302;
821.777192;0.133985;
824.360712;0.149468;
822.154538;0.978707;
822.653666;0.847455;
822.036926;0.136344;
817.449933;0.189659;
820.775653;0.133379;
830.129222;0.217688;
821.432757;0.402532;
822.351737;0.218083;
827.586156;0.110139;
819.217982;0.219211;
828.134177;0.100514;
818.851496;0.110093;
817.225652;0.127674;
817.202344;0.251188;
822.373431;0.116526;
823.686457;0.198242;
822.598446;0.118205;
826.683725;0.101956;
816.781619;0.147827;
854.028211;0.181812;
816.936353;0.127994;
824.153561;0.240965;
823.082480;0.111732;
824.137107;0.109723;
821.986433;0.103507;
816.332757;0.152545;
825.084542;0.148432;
821.941955;0.144071;
827.714969;0.159701;
824.760529;0.536590;
818.088521;0.179892;
820.136594;0.105634;
820.784107;0.174335;
818.737427;0.183078;
821.825570;0.131872;
821.269491;0.211137;
821.210822;0.185900;
824.645788;0.146470;
820.456906;0.168976;
816.123079;0.101055;
823.956697;0.103038;
818.117836;0.107532;
800.587399;0.149426;
840.227667;0.152502;
772.045318;0.158247;
823.918018;0.107141;
825.247097;0.214871;
822.593744;0.119364;
827.416089;0.137858;
825.447388;0.495239;
818.386267;0.597531;
825.870910;0.358513;
824.823442;0.475627;
824.405758;0.116067;
824.938549;0.127285;
828.458094;0.202295;
818.375603;0.110746;
820.680748;0.141431;
822.191231;0.107382;
818.952038;0.131226;
813.435425;0.110933;
824.141946;0.146149;
820.295840;0.103683;
824.192709;0.185837;
829.369014;0.140597;
836.971935;0.116879;
828.655748;0.101475;
816.867130;0.113225;
824.473781;0.102400;
813.374273;0.275202;
819.699819;0.127629;
820.214776;0.115464;
865.003641;0.249845;
822.512010;0.133809;
824.180639;0.149209;
818.168062;0.110800;
825.098618;0.148405;
816.707076;0.397078;
820.887780;0.125299;
919.913257;0.114789;
823.551113;0.139300;
826.549464;0.305602;
813.637826;0.194971;
887.989331;0.108068;
823.574197;0.126082;
818.856174;0.112321;
824.805357;0.114355;
826.582600;0.139222;
820.494025;0.122245;
817.280187;0.252902;
816.388678;0.124264;
821.788054;0.103639;
824.987468;0.182938;
825.310257;0.103512;
820.630902;0.206414;
821.522167;0.297739;
824.306926;0.121270;
816.533019;0.169886;
725.657888;0.108204;
814.247338;0.146630;
817.378697;0.123196;
823.812978;0.187592;
826.184407;0.203232;
821.065170;0.133918;
825.527909;0.140567;
806.771223;0.244247;
780.682382;0.121328;
830.549366;0.443128;
805.085476;0.128150;
836.614134;0.117779;
824.765885;0.140861;
815.689521;0.111946;
832.143323;0.110224;
818.031738;0.116716;
824.422810;0.210861;
824.793019;0.349212;
818.440160;0.156802;
823.561488;0.246255;
815.450328;0.108823;
816.350088;0.113813;
815.655236;0.214546;
816.310492;0.124866;
825.447850;0.139286;
832.507598;0.112461;
827.960135;0.145109;
822.089340;0.161393;
822.241429;0.171242;
813.952092;0.115552;
826.843693;0.377425;
826.721640;0.247064;
