Date;Spot;
0.000000;103.540000;
0.003938;104.285177;
0.007877;105.667628;
0.011815;103.610135;
0.015753;101.720040;
0.019692;103.962020;
0.023630;105.048305;
0.027568;103.966398;
0.031507;104.955543;
0.035445;103.290123;
0.039383;102.499423;
0.043322;99.803706;
0.047260;101.626992;
0.051198;102.059428;
0.055137;101.703558;
0.059075;102.826246;
0.063013;103.750605;
0.066952;102.264762;
0.070890;103.877862;
0.074828;103.820812;
0.078767;104.023061;
0.082705;103.409938;
0.086643;101.861331;
0.090581;99.849178;
0.094520;100.431109;
0.098458;100.368823;
0.102396;101.017071;
0.106335;101.405799;
0.110273;100.321117;
0.114211;101.483700;
0.118150;102.394490;
0.122088;101.828661;
0.126026;101.609321;
0.129965;100.841471;
0.133903;98.981452;
0.137841;96.140006;
0.141780;93.754789;
0.145718;92.898836;
0.149656;93.075761;
0.153595;93.528767;
0.157533;92.778093;
0.161471;93.664455;
0.165410;92.325900;
0.169348;94.139730;
0.173286;93.795776;
0.177225;92.038941;
0.181163;90.632063;
0.185101;91.908085;
0.189040;92.484039;
0.192978;90.638986;
0.196916;91.688895;
0.200855;91.185537;
0.204793;93.202832;
0.208731;92.750980;
0.212670;92.138450;
0.216608;90.122326;
0.220546;90.044044;
0.224485;90.233604;
0.228423;87.203801;
0.232361;88.455522;
0.236300;90.811028;
0.240238;92.338372;
0.244176;93.452201;
0.248115;92.125940;
0.252053;92.455940;
0.255991;94.421218;
0.259930;95.257582;
0.263868;96.250002;
0.267806;96.177721;
0.271744;96.633272;
0.275683;96.670968;
0.279621;98.592115;
0.283559;97.175457;
0.287498;99.173681;
0.291436;101.177168;
0.295374;101.245121;
0.299313;102.166867;
0.303251;102.160129;
0.307189;103.203351;
0.311128;103.768857;
0.315066;102.553871;
0.319004;102.854578;
0.322943;103.655495;
0.326881;106.208730;
0.330819;109.146058;
0.334758;107.154108;
0.338696;106.102431;
0.342634;109.426775;
0.346573;105.881919;
0.350511;108.151712;
0.354449;107.692066;
0.358388;106.023254;
0.362326;103.314913;
0.366264;102.609507;
0.370203;103.886156;
0.374141;102.700641;
0.378079;99.747837;
0.382018;99.074000;
0.385956;97.281054;
0.389894;96.294989;
0.393833;94.934111;
0.397771;94.961127;
0.401709;95.115598;
0.405648;95.494511;
0.409586;97.753900;
0.413524;99.151722;
0.417463;100.213407;
0.421401;100.343794;
0.425339;99.904048;
0.429278;99.811439;
0.433216;102.973535;
0.437154;103.369156;
0.441093;101.299945;
0.445031;102.803841;
0.448969;102.212254;
0.452907;101.478812;
0.456846;101.083344;
0.460784;102.178304;
0.464722;102.916496;
0.468661;102.581752;
0.472599;103.247739;
0.476537;103.698348;
0.480476;104.336440;
0.484414;105.100383;
0.488352;103.901233;
0.492291;101.883798;
0.496229;103.833490;
0.500167;101.298681;
0.504106;101.559227;
0.508044;100.940882;
0.511982;99.368597;
0.515921;103.253523;
0.519859;103.630175;
0.523797;105.048126;
0.527736;104.054216;
0.531674;104.636712;
0.535612;107.694792;
0.539551;106.129394;
0.543489;109.040960;
0.547427;108.243044;
0.551366;110.058885;
0.555304;109.315762;
0.559242;108.430916;
0.563181;106.975213;
0.567119;109.077655;
0.571057;107.222548;
0.574996;108.350803;
0.578934;105.864212;
0.582872;106.713732;
0.586811;108.410273;
0.590749;108.979808;
0.594687;108.102841;
0.598626;109.954258;
0.602564;110.481257;
0.606502;113.340299;
0.610441;113.196920;
0.614379;115.676307;
0.618317;117.484610;
0.622256;118.374850;
0.626194;121.141586;
0.630132;120.885125;
0.634070;121.526434;
0.638009;123.236334;
0.641947;119.842447;
0.645885;121.000467;
0.649824;117.744103;
0.653762;115.284156;
0.657700;113.384061;
0.661639;114.445407;
0.665577;114.749528;
0.669515;116.071010;
0.673454;118.480551;
0.677392;120.882619;
0.681330;121.535472;
0.685269;119.278465;
0.689207;117.130745;
0.693145;118.694252;
0.697084;122.377732;
0.701022;119.472265;
0.704960;121.256205;
0.708899;118.755814;
0.712837;118.249547;
0.716775;116.839143;
0.720714;119.683208;
0.724652;121.230097;
0.728590;118.694092;
0.732529;121.161427;
0.736467;121.855929;
0.740405;127.404962;
0.744344;125.447089;
0.748282;125.634270;
0.752220;127.425131;
0.756159;130.451235;
0.760097;126.155161;
0.764035;127.362510;
0.767974;128.400639;
0.771912;123.380991;
0.775850;124.232406;
0.779789;122.574888;
0.783727;123.324628;
0.787665;121.187082;
0.791604;119.329149;
0.795542;122.692692;
0.799480;125.240236;
0.803419;125.112566;
0.807357;126.393694;
0.811295;124.343535;
0.815233;123.469302;
0.819172;124.160470;
0.823110;123.853213;
0.827048;122.148291;
0.830987;123.626104;
0.834925;128.937377;
0.838863;126.588694;
0.842802;125.403366;
0.846740;122.579132;
0.850678;123.577225;
0.854617;127.324979;
0.858555;126.287716;
0.862493;126.453601;
0.866432;125.164278;
0.870370;124.532948;
0.874308;123.453047;
0.878247;125.795753;
0.882185;126.624646;
0.886123;124.397275;
0.890062;123.585378;
0.894000;123.694159;
